Date,finbert_score,lm_score,CP,Returns,Signal_FinBERT,Signal_Dictionary,Strat_FinBERT,Strat_Dictionary,Cum_BuyHold,Cum_FinBERT,Cum_Dictionary,Strat_Combined
2023-04-17,0.05962232568047263,0.016525141525141524,4151.32,0.0033007789687629755,-1,-1,-0.0033007789687629755,-0.0033007789687629755,1.0538233408204056,1.0595943617913002,-0.057931556075372086,0.0019839492239553925
2023-04-18,-0.018636641295059868,-0.010403726708074535,4154.87,0.0008547842551524592,1,1,0.0008547842551524592,0.0008547842551524592,1.0546781250755581,1.0604491460464527,-0.05707677182021963,0.0008547842551524592
2023-04-19,-0.0457817018032074,-0.025562364985441913,4154.52,-8.424204429116194e-05,-1,-1,8.424204429116194e-05,8.424204429116194e-05,1.0545938830312669,1.060533388090744,-0.05699252977592847,-5.0542955547111026e-05
2023-04-20,-0.3588946580886841,-0.034835164835164835,4129.79,-0.005970339945819703,-1,-1,0.005970339945819703,0.005970339945819703,1.0486235430854471,1.0665037280365637,-0.05102218983010876,-0.003570770335344971
2023-05-01,0.10622590212594896,-0.024567099567099564,4167.87,0.009178555722914788,-1,-1,-0.009178555722914788,-0.009178555722914788,1.0578020988083618,1.057325172313649,-0.06020074555302355,0.0055339931720991995
2023-05-02,-0.22743834927678108,-0.006696428571428572,4119.58,-0.011653897528004022,1,-1,-0.011653897528004022,0.011653897528004022,1.0461482012803578,1.045671274785645,-0.04854684802501953,-0.011653897528004022
2023-05-03,-0.29303644597530365,-0.060230654761904756,4090.75,-0.00702288909058116,-1,-1,0.00702288909058116,0.00702288909058116,1.0391253121897766,1.0526941638762262,-0.041523958934438374,-0.004197906397505265
2023-05-04,-0.2592379290323991,-0.05924332078178232,4061.2200000000003,-0.007244906241251324,-1,-1,0.007244906241251324,0.007244906241251324,1.0318804059485251,1.0599390701174776,-0.03427905269318705,-0.004330098684945409
2023-05-05,-0.16774584187401664,-0.03532455199121866,4136.25,0.018306159168068208,-1,-1,-0.018306159168068208,-0.018306159168068208,1.0501865651165934,1.0416329109494094,-0.052585211861255254,0.01109014773768386
2023-05-08,0.062459980186663176,0.005910609857978279,4138.12,0.00045199816586328297,-1,-1,-0.00045199816586328297,-0.00045199816586328297,1.0506385632824566,1.041180912783546,-0.05303721002711854,0.0002712642644475147
2023-05-09,-0.2298959063159095,-0.03756613756613757,4119.17,-0.004589891663841041,1,1,-0.004589891663841041,-0.004589891663841041,1.0460486716186157,1.0365910211197051,-0.05762710169095958,-0.004589891663841041
2023-05-10,-0.032323768362402916,0.004166666666666666,4137.64,0.004473890233026689,-1,-1,-0.004473890233026689,-0.004473890233026689,1.0505225618516425,1.0321171308866783,-0.06210099192398627,0.002690727701442917
2023-05-11,-0.2017314314842224,0.004285714285714284,4130.62,-0.0016980602174566785,-1,1,0.0016980602174566785,-0.0016980602174566785,1.0488245016341857,1.0338151911041351,-0.06379905214144295,-0.0010179128130044922
2023-05-12,-0.255339394013087,-0.0071676587301587324,4124.08,-0.0015845521626198357,-1,1,0.0015845521626198357,-0.0015845521626198357,1.0472399494715658,1.035399743266755,-0.06538360430406279,-0.0009499273305190232
2023-05-15,-0.012464604207447596,-0.007357259142973428,4136.28,0.0029538685652344835,-1,-1,-0.0029538685652344835,-0.0029538685652344835,1.0501938180368002,1.0324458747015206,-0.06833747286929727,0.0017751099491021985
2023-05-16,0.09660342761448451,0.003453689167974882,4109.9,-0.006398135861993161,-1,-1,0.006398135861993161,0.006398135861993161,1.0437956821748071,1.0388440105635137,-0.061939337007304106,-0.003825748419576331
